Sr_no,Abbrevation,Company Name,Reports,Industrial_vertical,Industry_sector,Date,Value,Start_year
306,MPC,Marathon Petroleum,reports,Energy,Oil & Gas Refining & Marketing,7/1/11,1510295,
307,MAR,Marriott Int'l.,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",,1048286,1927
308,MMC,Marsh & McLennan,reports,Financials,Insurance Brokers,8/31/87,62709,
309,MLM,Martin Marietta Materials,reports,Materials,Construction Materials,7/2/14,916076,
310,MAS,Masco Corp.,reports,Industrials,Building Products,6/30/81,62996,
311,MA,Mastercard Inc.,reports,Information Technology,IT Services,7/18/08,1141391,
312,MAT,Mattel Inc.,reports,Consumer Discretionary,Leisure Products,3/31/82,63276,
313,MKC,McCormick & Co.,reports,Consumer Staples,Packaged Foods & Meats,,63754,1889
314,MXIM,Maxim Integrated Products Inc,reports,Information Technology,Semiconductors,12/3/18,743316,1983
315,MCD,McDonald's Corp.,reports,Consumer Discretionary,Restaurants,6/30/70,63908,1940
316,MCK,McKesson Corp.,reports,Health Care,Health Care Distributors,,927653,1833
317,MDT,Medtronic plc,reports,Health Care,Health Care Equipment,10/31/86,1613103,
318,MRK,Merck & Co.,reports,Health Care,Pharmaceuticals,,310158,1891
319,MET,MetLife Inc.,reports,Financials,Life & Health Insurance,,1099219,1868
320,MTD,Mettler Toledo,reports,Health Care,Life Sciences Tools & Services,9/6/16,1037646,
321,MGM,MGM Resorts International,reports,Consumer Discretionary,Casinos & Gaming,7/26/17,789570,
322,MCHP,Microchip Technology,reports,Information Technology,Semiconductors,9/7/07,827054,
323,MU,Micron Technology,reports,Information Technology,Semiconductors,9/27/94,723125,
324,MSFT,Microsoft Corp.,reports,Information Technology,Systems Software,6/1/94,789019,1975
325,MAA,Mid-America Apartments,reports,Real Estate,Residential REITs,12/2/16,912595,
326,MHK,Mohawk Industries,reports,Consumer Discretionary,Home Furnishings,12/23/13,851968,
327,TAP,Molson Coors Brewing Company,reports,Consumer Staples,Brewers,6/30/76,24545,
328,MDLZ,Mondelez International,reports,Consumer Staples,Packaged Foods & Meats,10/2/12,1103982,
329,MNST,Monster Beverage,reports,Consumer Staples,Soft Drinks,6/28/12,865752,
330,MCO,Moody's Corp,reports,Financials,Financial Exchanges & Data,,1059556,1909
331,MS,Morgan Stanley,reports,Financials,Investment Banking & Brokerage,,895421,1935
332,MOS,The Mosaic Company,reports,Materials,Fertilizers & Agricultural Chemicals,9/26/11,1285785,
333,MSI,Motorola Solutions Inc.,reports,Information Technology,Communications Equipment,,68505,1928
334,MSCI,MSCI Inc,reports,Financials,Financial Exchanges & Data,4/4/18,1408198,
335,MYL,Mylan N.V.,reports,Health Care,Pharmaceuticals,4/23/04,1623613,
336,NDAQ,"Nasdaq, Inc.",reports,Financials,Financial Exchanges & Data,10/22/08,1120193,
337,NOV,National Oilwell Varco Inc.,reports,Energy,Oil & Gas Equipment & Services,3/14/05,1021860,
338,NKTR,Nektar Therapeutics,reports,Health Care,Pharmaceuticals,3/19/18,906709,
339,NTAP,NetApp,reports,Information Technology,Internet Software & Services,6/25/99,1002047,
340,NFLX,Netflix Inc.,reports,Communication Services,Movies & Entertainment,12/20/10,1065280,1997
341,NWL,Newell Brands,reports,Consumer Discretionary,Housewares & Specialties,4/30/89,814453,
342,NEM,Newmont Goldcorp,reports,Materials,Gold,6/30/69,1164727,1921
343,NWSA,News Corp. Class A,reports,Communication Services,Publishing,8/1/13,1564708,
344,NWS,News Corp. Class B,reports,Communication Services,Publishing,9/18/15,1564708,
345,NEE,NextEra Energy,reports,Utilities,Multi-Utilities,6/30/76,753308,
346,NLSN,Nielsen Holdings,reports,Industrials,Research & Consulting Services,7/9/13,1492633,
347,NKE,Nike,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",11/30/88,320187,
348,NI,NiSource Inc.,reports,Utilities,Multi-Utilities,,1111711,1912
349,NBL,Noble Energy Inc,reports,Energy,Oil & Gas Exploration & Production,10/8/07,72207,
350,JWN,Nordstrom,reports,Consumer Discretionary,Department Stores,8/31/86,72333,
351,NSC,Norfolk Southern Corp.,reports,Industrials,Railroads,,702165,1881 
352,NTRS,Northern Trust Corp.,reports,Financials,Asset Management & Custody Banks,,73124,1889
353,NOC,Northrop Grumman,reports,Industrials,Aerospace & Defense,6/30/85,1133421,
354,NCLH,Norwegian Cruise Line Holdings,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",10/13/17,1513761,
355,NRG,NRG Energy,reports,Utilities,Independent Power Producers & Energy Traders,1/29/10,1013871,
356,NUE,Nucor Corp.,reports,Materials,Steel,4/30/85,73309,
357,NVDA,Nvidia Corporation,reports,Information Technology,Semiconductors,11/30/01,1045810,
358,ORLY,O'Reilly Automotive,reports,Consumer Discretionary,Specialty Stores,3/27/09,898173,
359,OXY,Occidental Petroleum,reports,Energy,Oil & Gas Exploration & Production,12/31/82,797468,
360,OMC,Omnicom Group,reports,Communication Services,Advertising,,29989,1986
361,OKE,ONEOK,reports,Energy,Oil & Gas Storage & Transportation,3/15/10,1039684,
362,ORCL,Oracle Corp.,reports,Information Technology,Application Software,8/31/89,1341439,
363,PCAR,PACCAR Inc.,reports,Industrials,Construction Machinery & Heavy Trucks,12/31/80,75362,
364,PKG,Packaging Corporation of America,reports,Materials,Paper Packaging,7/26/17,75677,
365,PH,Parker-Hannifin,reports,Industrials,Industrial Machinery,11/30/85,76334,
366,PAYX,Paychex Inc.,reports,Information Technology,Internet Software & Services,,723531,1971
367,PYPL,PayPal,reports,Information Technology,Data Processing & Outsourced Services,7/20/15,1633917,
368,PNR,Pentair plc,reports,Industrials,Industrial Machinery,10/1/12,77360,
369,PBCT,People's United Financial,reports,Financials,Thrifts & Mortgage Finance,11/13/08,1378946,
370,PEP,PepsiCo Inc.,reports,Consumer Staples,Soft Drinks,,77476,1898
371,PKI,PerkinElmer,reports,Health Care,Health Care Equipment,5/31/85,31791,
372,PRGO,Perrigo,reports,Health Care,Pharmaceuticals,12/19/11,1585364,
373,PFE,Pfizer Inc.,reports,Health Care,Pharmaceuticals,,78003,1849
374,PM,Philip Morris International,reports,Consumer Staples,Tobacco,3/31/08,1413329,
375,PSX,Phillips 66,reports,Energy,Oil & Gas Refining & Marketing,5/1/12,1534701,
376,PNW,Pinnacle West Capital,reports,Utilities,Multi-Utilities,,764622,1985
377,PXD,Pioneer Natural Resources,reports,Energy,Oil & Gas Exploration & Production,9/24/08,1038357,
378,PNC,PNC Financial Services,reports,Financials,Regional Banks,4/30/88,713676,
379,PPG,PPG Industries,reports,Materials,Specialty Chemicals,,79879,1883
380,PPL,PPL Corp.,reports,Utilities,Electric Utilities,,922224,
381,PFG,Principal Financial Group,reports,Financials,Life & Health Insurance,7/22/02,1126328,
382,PG,Procter & Gamble,reports,Consumer Staples,Personal Products,,80424,1837
383,PGR,Progressive Corp.,reports,Financials,Property & Casualty Insurance,8/4/97,80661,
384,PLD,Prologis,reports,Real Estate,Industrial REITs,7/17/03,1045609,
385,PRU,Prudential Financial,reports,Financials,Life & Health Insurance,7/22/02,1137774,
386,PEG,Public Serv. Enterprise Inc.,reports,Utilities,Electric Utilities,,788784,
387,PSA,Public Storage,reports,Real Estate,Specialized REITs,8/19/05,1393311,
388,PHM,Pulte Homes Inc.,reports,Consumer Discretionary,Homebuilding,4/30/84,822416,
389,PVH,PVH Corp.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2/15/13,78239,
390,QRVO,Qorvo,reports,Information Technology,Semiconductors,6/11/15,1604778,
391,PWR,Quanta Services Inc.,reports,Industrials,Construction & Engineering,7/1/09,1050915,
392,QCOM,QUALCOMM Inc.,reports,Information Technology,Semiconductors,,804328,1985
393,DGX,Quest Diagnostics,reports,Health Care,Health Care Services,12/12/02,1022079,
394,RL,Ralph Lauren Corporation,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2/2/07,1037038,
395,RJF,Raymond James Financial Inc.,reports,Financials,Investment Banking & Brokerage,3/20/17,720005,
396,RTN,Raytheon Co.,reports,Industrials,Aerospace & Defense,,1047122,1922
397,O,Realty Income Corporation,reports,Real Estate,Retail REITs,4/7/15,726728,
398,RHT,Red Hat Inc.,reports,Information Technology,Systems Software,7/27/09,1087423,
399,REG,Regency Centers Corporation,reports,Real Estate,Retail REITs,3/2/17,910606,
400,REGN,Regeneron,reports,Health Care,Biotechnology,5/1/13,872589,
401,RF,Regions Financial Corp.,reports,Financials,Regional Banks,8/28/98,1281761,
402,RSG,Republic Services Inc,reports,Industrials,Environmental & Facilities Services,12/5/08,1060391,
403,RMD,ResMed,reports,Health Care,Health Care Equipment,7/26/17,943819,
404,RHI,Robert Half International,reports,Industrials,Human Resource & Employment Services,12/5/00,315213,
405,ROK,Rockwell Automation Inc.,reports,Industrials,Electrical Components & Equipment,,1024478,
406,ROL,Rollins Inc.,reports,Industrials,Environmental & Facilities Services,10/1/18,84839,
407,ROP,Roper Technologies,reports,Industrials,Industrial Conglomerates,12/23/09,882835,
408,ROST,Ross Stores,reports,Consumer Discretionary,Apparel Retail,12/21/09,745732,
409,RCL,Royal Caribbean Cruises Ltd,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",12/5/14,884887,
410,CRM,Salesforce.com,reports,Information Technology,Internet Software & Services,9/15/08,1108524,
411,SBAC,SBA Communications,reports,Real Estate,Specialized REITs,9/1/17,1034054,
412,SLB,Schlumberger Ltd.,reports,Energy,Oil & Gas Equipment & Services,3/31/65,87347,1926
413,STX,Seagate Technology,reports,Information Technology,"Technology Hardware, Storage & Peripherals",7/2/12,1137789,
414,SEE,Sealed Air,reports,Materials,Paper Packaging,,1012100,
415,SRE,Sempra Energy,reports,Utilities,Multi-Utilities,,1032208,
416,SHW,Sherwin-Williams,reports,Materials,Specialty Chemicals,6/30/64,89800,1866
417,SPG,Simon Property Group Inc,reports,Real Estate,Retail REITs,6/26/02,1063761,
418,SWKS,Skyworks Solutions,reports,Information Technology,Semiconductors,3/12/15,4127,
419,SLG,SL Green Realty,reports,Real Estate,Office REITs,3/20/15,1040971,
420,SNA,Snap-on,reports,Industrials,Industrial Machinery,9/30/82,91440,
421,SO,Southern Co.,reports,Utilities,Electric Utilities,,92122,
422,LUV,Southwest Airlines,reports,Industrials,Airlines,7/1/94,92380,
423,SPGI,"S&P Global, Inc.",reports,Financials,Financial Exchanges & Data,,64040,
424,SWK,Stanley Black & Decker,reports,Industrials,Industrial Machinery,9/30/82,93556,
425,SBUX,Starbucks Corp.,reports,Consumer Discretionary,Restaurants,,829224,1971
426,STT,State Street Corp.,reports,Financials,Asset Management & Custody Banks,,93751,
427,SYK,Stryker Corp.,reports,Health Care,Health Care Equipment,12/12/00,310764,
428,STI,SunTrust Banks,reports,Financials,Regional Banks,5/31/88,750556,
429,SIVB,SVB Financial,reports,Financials,Regional Banks,3/19/18,719739,
430,SYMC,Symantec Corp.,reports,Information Technology,Application Software,3/25/03,849399,
431,SYF,Synchrony Financial,reports,Financials,Consumer Finance,11/18/15,1601712,
432,SNPS,Synopsys Inc.,reports,Information Technology,Application Software,3/16/17,883241,
433,SYY,Sysco Corp.,reports,Consumer Staples,Food Distributors,12/31/86,96021,
434,TROW,T. Rowe Price Group,reports,Financials,Asset Management & Custody Banks,,1113169,1937
435,TTWO,Take-Two Interactive,reports,Communication Services,Interactive Home Entertainment,3/19/18,946581,
436,TPR,"Tapestry, Inc.",reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",,1116132,2017
437,TGT,Target Corp.,reports,Consumer Discretionary,General Merchandise Stores,12/31/76,27419,
438,TEL,TE Connectivity Ltd.,reports,Information Technology,Electronic Manufacturing Services,10/17/11,1385157,
439,FTI,TechnipFMC,reports,Energy,Oil & Gas Equipment & Services,6/5/09,1681459,
440,TFX,Teleflex,reports,Health Care,Health Care Equipment,1/18/19,96943,1943
441,TXN,Texas Instruments,reports,Information Technology,Semiconductors,,97476,1930
442,TXT,Textron Inc.,reports,Industrials,Aerospace & Defense,12/31/78,217346,
443,TMO,Thermo Fisher Scientific,reports,Health Care,Health Care Equipment,,97745,2006
444,TIF,Tiffany & Co.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",6/21/00,98246,
445,TWTR,"Twitter, Inc.",reports,Communication Services,Interactive Media & Services,6/7/18,1418091,
446,TJX,TJX Companies Inc.,reports,Consumer Discretionary,Apparel Retail,9/30/85,109198,
447,TMK,Torchmark Corp.,reports,Financials,Life & Health Insurance,4/30/89,320335,
448,TSS,Total System Services,reports,Information Technology,Internet Software & Services,1/2/08,721683,
449,TSCO,Tractor Supply Company,reports,Consumer Discretionary,Specialty Stores,1/24/14,916365,
450,TDG,TransDigm Group,reports,Industrials,Aerospace & Defense,6/3/16,1260221,
451,TRV,The Travelers Companies Inc.,reports,Financials,Property & Casualty Insurance,8/21/02,86312,
452,TRIP,TripAdvisor,reports,Communication Services,Interactive Media & Services,12/21/11,1526520,
453,TSN,Tyson Foods,reports,Consumer Staples,Packaged Foods & Meats,,100493,
454,UDR,UDR Inc,reports,Real Estate,Residential REITs,3/7/16,74208,
455,ULTA,Ulta Beauty,reports,Consumer Discretionary,Specialty Stores,4/18/16,1403568,
456,USB,U.S. Bancorp,reports,Financials,Diversified Banks,,36104,1968
457,UAA,Under Armour Class A,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",3/25/16,1336917,
458,UA,Under Armour Class C,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",5/1/14,1336917,
459,UNP,Union Pacific,reports,Industrials,Railroads,,100885,
460,UAL,United Continental Holdings,reports,Industrials,Airlines,9/3/15,100517,
461,UNH,United Health Group Inc.,reports,Health Care,Managed Health Care,7/1/94,731766,
462,UPS,United Parcel Service,reports,Industrials,Air Freight & Logistics,7/22/02,1090727,
463,URI,"United Rentals, Inc.",reports,Industrials,Trading Companies & Distributors,9/20/14,1067701,
464,UTX,United Technologies,reports,Industrials,Aerospace & Defense,,101829,
465,UHS,"Universal Health Services, Inc.",reports,Health Care,Health Care Facilities,9/20/14,352915,
466,UNM,Unum Group,reports,Financials,Life & Health Insurance,3/1/94,5513,
467,VFC,V.F. Corp.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",6/30/79,103379,
468,VLO,Valero Energy,reports,Energy,Oil & Gas Refining & Marketing,,1035002,1980
469,VAR,Varian Medical Systems,reports,Health Care,Health Care Equipment,2/12/07,203527,
470,VTR,Ventas Inc,reports,Real Estate,Health Care REITs,3/4/09,740260,
471,VRSN,Verisign Inc.,reports,Information Technology,Internet Services & Infrastructure,2/1/06,1014473,
472,VRSK,Verisk Analytics,reports,Industrials,Research & Consulting Services,10/8/15,1442145,
473,VZ,Verizon Communications,reports,Communication Services,Integrated Telecommunication Services,11/30/83,732712,
474,VRTX,Vertex Pharmaceuticals Inc,reports,Health Care,Biotechnology,9/23/13,875320,
475,VIAB,Viacom Inc.,reports,Communication Services,Movies & Entertainment,,1339947,
476,V,Visa Inc.,reports,Information Technology,IT Services,12/21/09,1403161,
477,VNO,Vornado Realty Trust,reports,Real Estate,Office REITs,,899689,
478,VMC,Vulcan Materials,reports,Materials,Construction Materials,6/30/99,1396009,
479,WAB,Wabtec Corporation,reports,Industrials,Construction Machinery & Heavy Trucks,2/27/19,943452,
480,WMT,Walmart,reports,Consumer Staples,Hypermarkets & Super Centers,8/31/82,104169,
481,WBA,Walgreens Boots Alliance,reports,Consumer Staples,Drug Retail,12/31/79,1618921,
482,DIS,The Walt Disney Company,reports,Communication Services,Movies & Entertainment,6/30/76,1001039,
483,WM,Waste Management Inc.,reports,Industrials,Environmental & Facilities Services,6/11/78,823768,1968
484,WAT,Waters Corporation,reports,Health Care,Health Care Distributors,,1000697,1958
485,WEC,Wec Energy Group Inc,reports,Utilities,Electric Utilities,10/31/08,783325,
486,WCG,WellCare,reports,Health Care,Managed Health Care,3/17/1985,1279363,
487,WFC,Wells Fargo,reports,Financials,Diversified Banks,6/30/76,72971,
488,WELL,Welltower Inc.,reports,Real Estate,Health Care REITs,1/30/09,766704,
489,WDC,Western Digital,reports,Information Technology,"Technology Hardware, Storage & Peripherals",7/1/09,106040,
490,WU,Western Union Co,reports,Information Technology,Internet Software & Services,,1365135,1851
491,WRK,WestRock,reports,Materials,Paper Packaging,,1636023,
492,WY,Weyerhaeuser,reports,Real Estate,Specialized REITS,,106535,
493,WHR,Whirlpool Corp.,reports,Consumer Discretionary,Household Appliances,,106640,1911
494,WMB,Williams Cos.,reports,Energy,Oil & Gas Storage & Transportation,3/31/75,107263,
495,WLTW,Willis Towers Watson,reports,Financials,Insurance Brokers,1/5/16,1140536,
496,WYNN,Wynn Resorts Ltd,reports,Consumer Discretionary,Casinos & Gaming,11/14/08,1174922,
497,XEL,Xcel Energy Inc,reports,Utilities,Multi-Utilities,,72903,1909
498,XRX,Xerox,reports,Information Technology,"Technology Hardware, Storage & Peripherals",,108772,1906
499,XLNX,Xilinx,reports,Information Technology,Semiconductors,11/8/99,743988,
500,XYL,Xylem Inc.,reports,Industrials,Industrial Machinery,11/1/11,1524472,
501,YUM,Yum! Brands Inc,reports,Consumer Discretionary,Restaurants,10/6/97,1041061,
502,ZBH,Zimmer Biomet Holdings,reports,Health Care,Health Care Equipment,8/7/01,1136869,
503,ZION,Zions Bancorp,reports,Financials,Regional Banks,6/22/01,109380,
504,ZTS,Zoetis,reports,Health Care,Pharmaceuticals,6/21/13,1555280,
