Sr_no,Abbrevation,Company Name,Reports,Industrial_vertical,Industry_sector,Date,Value,Start_year
68,BAX,Baxter International Inc.,reports,Health Care,Health Care Equipment,9/30/72,10456,1931
69,BBT,BB&T Corporation,reports,Financials,Regional Banks,12/4/97,92230,
70,BDX,Becton Dickinson,reports,Health Care,Health Care Equipment,9/30/72,10795,1897
71,BRK.B,Berkshire Hathaway,reports,Financials,Multi-Sector Holdings,2/16/10,1067983,
72,BBY,Best Buy Co. Inc.,reports,Consumer Discretionary,Computer & Electronics Retail,6/29/99,764478,
73,BIIB,Biogen Inc.,reports,Health Care,Biotechnology,11/13/03,875045,
74,BLK,BlackRock,reports,Financials,Asset Management & Custody Banks,4/4/11,1364742,
75,HRB,Block H&R,reports,Consumer Discretionary,Specialized Consumer Services,11/30/86,12659,
76,BA,Boeing Company,reports,Industrials,Aerospace & Defense,,12927,1916
77,BKNG,Booking Holdings Inc,reports,Consumer Discretionary,Internet & Direct Marketing Retail,11/6/09,1075531,
78,BWA,BorgWarner,reports,Consumer Discretionary,Auto Parts & Equipment,12/19/11,908255,
79,BXP,Boston Properties,reports,Real Estate,Office REITs,4/3/06,1037540,
80,BSX,Boston Scientific,reports,Health Care,Health Care Equipment,2/24/95,885725,
81,BMY,Bristol-Myers Squibb,reports,Health Care,Health Care Distributors,,14272,1989
82,AVGO,Broadcom,reports,Information Technology,Semiconductors,5/8/14,1730168,
83,BR,Broadridge Financial Solutions,reports,Information Technology,Data Processing & Outsourced Services,6/18/18,1383312,1962
84,BF.B,Brown-Forman Corp.,reports,Consumer Staples,Distillers & Vintners,10/31/82,14693,
85,CHRW,C. H. Robinson Worldwide,reports,Industrials,Air Freight & Logistics,3/2/07,1043277,
86,COG,Cabot Oil & Gas,reports,Energy,Oil & Gas Exploration & Production,6/23/08,858470,
87,CDNS,Cadence Design Systems,reports,Information Technology,Application Software,9/18/17,813672,
88,CPB,Campbell Soup,reports,Consumer Staples,Packaged Foods & Meats,,16732,1869
89,COF,Capital One Financial,reports,Financials,Consumer Finance,7/1/98,927628,1935
90,CPRI,Capri Holdings,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",11/13/13,1530721,
91,CAH,Cardinal Health Inc.,reports,Health Care,Health Care Distributors,5/27/97,721371,
92,KMX,Carmax Inc,reports,Consumer Discretionary,Specialty Stores,6/28/10,1170010,
93,CCL,Carnival Corp.,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",12/22/98,815097,
94,CAT,Caterpillar Inc.,reports,Industrials,Construction Machinery & Heavy Trucks,,18230,1925
95,CBOE,Cboe Global Markets,reports,Financials,Financial Exchanges & Data,3/1/17,1374310,
96,CBRE,CBRE Group,reports,Real Estate,Real Estate Services,11/10/06,1138118,
97,CBS,CBS Corp.,reports,Communication Services,Broadcasting,9/1/94,813828,2006
98,CE,Celanese,reports,Materials,Specialty Chemicals,12/24/18,1306830,
99,CELG,Celgene Corp.,reports,Health Care,Biotechnology,11/6/06,816284,
100,CNC,Centene Corporation,reports,Health Care,Managed Health Care,3/30/16,1071739,
101,CNP,CenterPoint Energy,reports,Utilities,Multi-Utilities,7/31/85,1130310,
102,CTL,CenturyLink Inc,reports,Communication Services,Integrated Telecommunication Services,3/25/99,18926,
103,CERN,Cerner,reports,Health Care,Health Care Technology,4/30/10,804753,
104,CF,CF Industries Holdings Inc,reports,Materials,Fertilizers & Agricultural Chemicals,8/27/08,1324404,
105,SCHW,Charles Schwab Corporation,reports,Financials,Investment Banking & Brokerage,6/2/97,316709,
106,CHTR,Charter Communications,reports,Communication Services,Cable & Satellite,9/8/16,1091667,
107,CVX,Chevron Corp.,reports,Energy,Integrated Oil & Gas,,93410,1879
108,CMG,Chipotle Mexican Grill,reports,Consumer Discretionary,Restaurants,4/28/11,1058090,
109,CB,Chubb Limited,reports,Financials,Property & Casualty Insurance,7/15/10,896159,
110,CHD,Church & Dwight,reports,Consumer Staples,Household Products,12/29/15,313927,
111,CI,CIGNA Corp.,reports,Health Care,Managed Health Care,6/30/76,701221,
112,XEC,Cimarex Energy,reports,Energy,Oil & Gas Exploration & Production,6/21/14,1168054,
113,CINF,Cincinnati Financial,reports,Financials,Property & Casualty Insurance,12/18/97,20286,
